time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.3355146678261307e-07,2.584316497473088e-08,10.00441373051297,3.0138722061145984e-05,0.00021818314741306466,0.0,-2.0594915581595708e-05,2.523948926328068e-06,0.1471160096512442,0.0014885589604153615,0.010065327480224512,0.0,452.35640566011836,453.16600071300974,450.37941214004064,450.49975757786035
0.12000000000000001,-8.561677833979318e-06,1.197037889973358e-06,10.016985799862422,0.0001445620189457486,0.000856872278814258,0.0,-0.00032269189928245683,4.729457139919925e-05,0.271930738736931,0.002731240484548005,0.011779317397125132,0.0,444.74621025211894,444.88642305325726,444.6106381729865,444.7123807127154
0.18,-4.795543141363344e-05,7.539445163507607e-06,10.035578161051887,6.283096005713542,0.0018875637515085586,0.0,-0.0010776402590552162,0.0001658661642856804,0.347793921163934,-0.022433419903893175,0.02623418615536198,0.0,428.6123245696211,429.83879206198037,430.3697777006767,428.23493580821906
0.23999999999999996,-0.00015243372375962346,1.1512788368559056e-05,10.05704614293559,6.281258751320092,0.003508340411093158,0.0,-0.0025490224388339967,-0.00016800796132974743,0.3677986268926479,-0.056877646032597304,0.028526439354008976,0.0,410.8067382045182,411.0101462356548,412.3599427951455,409.305743694502
0.3,-0.000387315046258991,-5.351231028234936e-05,10.082901351181253,6.277716886700858,0.005019526571768296,0.0,-0.005451879923764949,-0.002367161252858003,0.49399309978381933,-0.06372688641628543,0.017492886123429308,0.0,445.41274652236314,444.5097357455047,445.91734445991005,445.3551221170105
0.36000000000000004,-0.0008272810119171333,-0.00032851500405623113,10.116499697063656,6.2743314471419325,0.005610070606134165,0.0,-0.009309354853800536,-0.00718072367731029,0.6258851623623674,-0.044806629362251715,-0.01342507476957384,0.0,448.29231428738046,445.77328757906173,446.57258634482554,448.11073749149125
0.4200000000000001,-0.0015107563789857044,-0.0009719059155263441,10.159128482761393,6.271702578532018,0.005352804066883543,0.0,-0.013417906352961443,-0.014562995473263961,0.7949689704414401,-0.04190109697456869,0.009577953669744685,0.0,457.0120265953826,458.8416469632213,459.4328543814318,459.6621184322218
0.48000000000000015,-0.002411584873210111,-0.002055360259580309,10.206713381929404,6.269132386376448,0.00586060991613202,0.0,-0.016656718214212225,-0.0217723843628431,0.7911939212548255,-0.04477570818743519,0.006135611841897949,0.0,403.7955248244735,403.4847990683652,403.1096346729268,402.84860143486947
0.5400000000000001,-0.0035747270880000753,-0.0037632085428733514,10.264118761715787,6.266066043241786,0.006337053410958582,0.0,-0.02217094884865036,-0.03553740782734031,1.1220477232622805,-0.06841788284654282,0.011326513942173055,0.0,504.40980146543467,504.78435876531483,507.38799188269724,505.6865596115939
0.6000000000000002,-0.005038582789608712,-0.006265306263409125,10.33446326975381,6.261648347249608,0.006857990447326934,0.0,-0.02668550943446877,-0.04829618296664623,1.2226579083709133,-0.08688345163507032,0.0027858809366043745,0.0,438.2423236024538,437.53181587330965,439.69763779092943,438.1608910289176
0.6600000000000003,-0.006783286954981772,-0.00963198932640763,10.411011623177021,6.256705330358182,0.006805217733331759,0.0,-0.03147768817881011,-0.06444528224117069,1.3288234393751424,-0.07463867553609477,-0.009460833585312686,0.0,441.0113224789136,439.9987304558834,439.82433844095954,440.8315363217596
0.7200000000000003,-0.00878426275086204,-0.01395445444337662,10.48977151874177,6.252424748255645,0.00668902719819453,0.0,-0.03519619521362192,-0.07999841147717593,1.2965332569995627,-0.06545757776920676,0.009967339721718774,0.0,393.47035985327614,395.2647645294103,394.43321844747345,395.2754754299137
0.7800000000000004,-0.01104748854727829,-0.019441955728479312,10.571730022245154,6.248305061500098,0.008900088863915911,0.0,-0.04042231487526061,-0.10334571737638014,1.4352363739870755,-0.07598994038896877,0.06519503961305301,0.0,449.33051336393197,453.78567885971563,450.471176566445,449.61522003937455
0.8400000000000004,-0.013676653047865904,-0.026397548647622164,10.661336764351416,6.244564398119305,0.012923118168199466,0.0,-0.047629736892412324,-0.1289263260078177,1.5514828070617575,-0.04373412772336656,0.0705230309029894,0.0,444.50833890233685,444.94805463741056,442.3959262665837,445.0404733090521
0.9000000000000005,-0.01682224654418471,-0.03495362933877554,10.757748770028416,6.242443908914165,0.01710728523254179,0.0,-0.057657394963291926,-0.15651230374934313,1.6620781969137368,-0.022364905207455446,0.06811481264190061,0.0,442.65331913365196,442.4588375700632,442.2110765104191,443.96705860365967
0.9600000000000005,-0.02068884276262293,-0.0452788394172949,10.862589613051044,6.2409435887306515,0.021013752766512184,0.0,-0.07167498941761097,-0.18781020395486286,1.8323413620130231,-0.030891289347458675,0.058293019538551184,0.0,461.3059943848751,460.5327688976899,462.5374510737092,461.8654411024988
1.0200000000000005,-0.0254454383128479,-0.05744371816696621,10.975891425810675,6.238904393916165,0.024760643238905367,0.0,-0.08725145720385029,-0.21787944484127714,1.9441814782059914,-0.041032807720790855,0.06967534145813556,0.0,443.8964579315395,444.83224914366195,444.4287293361323,443.59627718337447
1.0800000000000005,-0.031284709680639684,-0.0715723110625977,11.098450910943297,6.236159765682725,0.029903965974190427,0.0,-0.10793772518002963,-0.25335846143418367,2.1407540399072653,-0.05739271397005806,0.10649963901098582,0.0,469.6738992299984,472.52621130710685,470.42717823094597,469.15756787077135
